RAB6D	RAB6C	0.9805747835953548
GDI1	GDI2	0.9796176676354396
PCDHGA2	PCDHGA11	0.9783772922744292
FAM86B2	EEF2KMT	0.9783531170617472
HNRNPA2B1	HNRNPA3	0.9763665151803462
GLUD1	GLUD2	0.9758224731613996
PRPS2	PRPS1L1	0.9738234023997432
PCDHGA5	PCDHGA11	0.9731816676151116
DYNLL2	DYNLL1	0.9631622600676226
EIF4A2	EIF4A1	0.962009931830106
TPM1	TPM3	0.9616883373296788
PCDHGA2	PCDHGA5	0.9589741454204868
MYH1	MYH8	0.9588518937330912
KIF4A	KIF4B	0.9576412872312616
TTC30B	TTC30A	0.953455177276706
MYH1	MYH6	0.9522105026653086
PCDHGC3	PCDHGA11	0.9506160774508632
WNT3A	WNT3	0.9500397275664392
PCDHGA2	PCDHGC3	0.949136176289486
TMEM185B	TMEM185A	0.9490744870746682
GMFB	GMFG	0.9450332035495916
PCDHGA6	PCDHGA4	0.943854411730393
MYH4	MYH7	0.9418451832671788
MYH7	MYH2	0.9370241939970332
PCDHGA11	PCDHGB7	0.9360109348117874
PCDHGC4	PCDHGB7	0.9353509105333884
MYH6	MYH8	0.934714408036523
PCDHGA5	PCDHGC3	0.9319201269473528
ACTN2	ACTN4	0.9317647338245192
MYH8	MYH7	0.9314522160215912
PCDHGA2	PCDHGB7	0.9299249317039006
HSPA8	HSPA2	0.9256588711293532
PCDHGA10	PCDHGA6	0.9246015601790668
PCDHGC3	PCDHGB7	0.9245003185449804
CLGN	SLC39A7	0.9236885465571122
GNB1	GNB4	0.922998780005821
CLGN	HM13	0.9214696939630264
PCDHGC4	PCDHGA11	0.9203183642380528
ACTN3	ACTN2	0.9189630505506357
RPL26L1	RPL14	0.9188865098980684
MYH1	MYH7	0.9164937055897568
RPL26L1	RPL26	0.9146788714486124
PCDHGA2	PCDHGC4	0.9142122057652944
HSP90B1	CLGN	0.9141007093133308
AKR1C1	AKR1C4	0.9140517855823482
PCDHGB1	PCDHGA4	0.9133125769166588
KLHL13	KLHL9	0.9132745575216312
MYH4	MYH2	0.91252999484453
IMPDH2	IMPDH1	0.912495678661121
MYH4	MYH8	0.911331819187254
HNRNPL	HNRNPDL	0.9100122197560272
PCDHGA10	PCDHGA4	0.9096959010828588
RPL26L1	RPL13	0.9085040668782624
CSNK1A1L	CSNK1A1	0.9077312325038656
CKS1B	CKS2	0.9076234459673796
PCDHGC3	PCDHGC4	0.9051415902877132
CYP2C8	CYP2C18	0.904712884163492
MYH6	MYH7	0.904212722751063
PRPS1L1	PRPS1	0.9039984486930508
PCDHGA5	PCDHGB7	0.90174062104352
MRPL53	GADD45GIP1	0.9001637826253706
GNB4	GNB2	0.899871961351216
RFC1	RFC4	0.899452487074967
HNRNPL	HNRNPA2B1	0.8986835737304375
NDUFA8	NDUFS2	0.8982728173948128
AFDN	LNX1	0.897966845433795
PCDHGB1	PCDHGA6	0.8955601998092586
RPL14	RPL26	0.8954557747522257
RPL26	RPL13	0.8953396951975788
PRPS2	PRPS1	0.8941390882589862
PAK4	CGN	0.8939884850860987
MYH1	MYH4	0.8936936533773427
MRPL53	MRPL22	0.8935328171780835
MYH6	MYH2	0.8935126352431857
UBE2D3	UBE2D2	0.8934312982468783
PCDHGB1	PCDHGB5	0.8932620451103218
NDUFC2	NDUFA8	0.8924547223583785
HNRNPL	HNRNPA3	0.8918575404894242
HNRNPA2B1	HNRNPDL	0.8908876574016771
MYH8	MYH2	0.8905780974614269
HSP90B1	HM13	0.8902254433330165
PCDHGA5	PCDHGC4	0.8902234784528205
SF3B4	RBM17	0.8894763677426737
NDUFA7	NDUFS2	0.8894211273293634
PAK4	TP53BP2	0.8889519691749814
MRPL37	MRPL22	0.8888905860449409
MYH1	MYH2	0.8886906571601233
LPXN	PTK2	0.888350932877254
NDUFC2	NDUFS2	0.8882389074335418
RPL35	RPL10L	0.888082281600485
RPL37A	RPS8	0.8871512375834112
PAK4	AFDN	0.8870077376375843
MRPL53	MRPL57	0.8868880349332436
MRPL28	MRPL47	0.8866545884319206
ATP5F1A	ATP5PD	0.8863991197748283
KCTD8	BRAF	0.8862148230967652
RPL37A	RPL13	0.8857503339408914
HNRNPA3	HNRNPDL	0.8841731547418914
MYH4	MYH6	0.882562420510341
SMARCC2	SMARCC1	0.8822230629031657
TUBB1	TUBB3	0.8818348950560998
PDE8A	LCK	0.8815982374751009
MRPL47	MRPL22	0.8810010888436949
PCDHGA10	PCDHGB1	0.8806789939530393
MRPL57	MRPL22	0.8801815813101456
LRRC59	ASPH	0.8793708264022096
CAMK2G	CAMK2B	0.8790080627117124
